timestamp,occupancy_actual,occupancy_predicted,outdoor_temperature_C,scheduled_room_temperature_C,predictive_room_temperature_C,scheduled_hvac_enable,predictive_hvac_enable,scheduled_hvac_power_kW,predictive_hvac_power_kW,predictive_future_temp_no_hvac_C,predictive_future_temp_with_command_C,predictive_cooling_command_kW_thermal,scheduled_energy_interval_kWh,predictive_energy_interval_kWh,scheduled_energy_cumulative_kWh,predictive_energy_cumulative_kWh,scheduled_comfort_ok,predictive_comfort_ok
2024-10-09 08:50:00,0.0,1.0026372845144478,25.0,25.744529879306903,25.74327086008098,1,0,0.0,0.0,25.74422145858784,25.74422145858784,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 08:55:00,0.0,0.673299322529503,25.0,25.722193982927696,25.72097273427855,1,0,0.0,0.0,25.74422145858784,25.74422145858784,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 09:00:00,0.0,0.3399645201343859,25.0,25.700528163439866,25.699343552250195,1,0,0.0,0.0,25.74422145858784,25.74422145858784,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 09:05:00,0.0,0.0027505817507422203,25.0,25.67951231853667,25.67836324568269,1,0,0.0,0.0,25.74422145858784,25.74422145858784,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 09:10:00,0.0,0.0027505817507422203,25.0,25.65912694898057,25.65801234831221,1,0,0.0,0.0,25.74422145858784,25.74422145858784,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 09:15:00,0.0,0.0027505817507422203,25.0,25.639353140511155,25.638271977862843,1,0,0.0,0.0,25.53166268909041,25.53166268909041,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 09:20:00,0.0,0.0027505817507422203,25.0,25.62017254629582,25.61912381852696,1,0,0.0,0.0,25.53166268909041,25.53166268909041,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 09:25:00,0.0,0.0027505817507422203,25.0,25.601567369906945,25.60055010397115,1,0,0.0,0.0,25.53166268909041,25.53166268909041,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 09:30:00,0.0,0.0027505817507422203,25.0,25.58352034880974,25.582533600852013,1,0,0.0,0.0,25.53166268909041,25.53166268909041,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 09:35:00,0.0,0.0027505817507422203,25.0,25.566014738345448,25.565057592826452,1,0,0.0,0.0,25.53166268909041,25.53166268909041,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 09:40:00,0.0,0.0027505817507422203,25.0,25.549034296195085,25.54810586504166,1,0,0.0,0.0,25.53166268909041,25.53166268909041,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 09:45:00,0.0,0.0027505817507422203,25.0,25.532563267309232,25.53166268909041,1,0,0.0,0.0,25.44286013607758,25.44286013607758,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 09:50:00,0.0,0.0027505817507422203,25.0,25.516586369289953,25.5157128084177,1,0,0.0,0.0,25.44286013607758,25.44286013607758,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 09:55:00,0.0,0.0027505817507422203,25.0,25.501088778211255,25.500241424165168,1,0,0.0,0.0,25.44286013607758,25.44286013607758,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 10:00:00,0.0,0.0024511776243795746,25.0,25.486056114864915,25.485234181440212,1,0,0.0,0.0,25.44286013607758,25.44286013607758,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 10:05:00,0.0,0.0024511776243795746,25.0,25.47147443141897,25.470677155997006,1,0,0.0,0.0,25.44286013607758,25.44286013607758,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 10:10:00,0.0,0.0024511776243795746,25.0,25.4573301984764,25.456556841317095,1,0,0.0,0.0,25.44286013607758,25.44286013607758,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 10:15:00,0.0,0.0024511776243795746,25.0,25.443610292522106,25.44286013607758,1,0,0.0,0.0,25.368890095451675,25.368890095451675,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 10:20:00,0.0,0.0024511776243795746,25.0,25.430301983746443,25.429574331995255,1,0,0.0,0.0,25.368890095451675,25.368890095451675,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 10:25:00,0.0,0.0024511776243795746,25.0,25.41739292423405,25.416687102035397,1,0,0.0,0.0,25.368890095451675,25.368890095451675,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 10:30:00,0.0,0.0024511776243795746,25.0,25.40487113650703,25.404186488974336,1,0,0.0,0.0,25.368890095451675,25.368890095451675,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 10:35:00,0.0,0.0024511776243795746,25.0,25.39272500241182,25.392060894305107,1,0,0.0,0.0,25.368890095451675,25.368890095451675,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 10:40:00,0.0,0.0024511776243795746,25.0,25.380943252339463,25.380299067475953,1,0,0.0,0.0,25.368890095451675,25.368890095451675,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 10:45:00,0.0,0.0024511776243795746,25.0,25.36951495476928,25.368890095451675,1,0,0.0,0.0,25.307275122406836,25.307275122406836,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 10:50:00,0.0,0.0024511776243795746,25.0,25.3584295061262,25.357823392588124,1,0,0.0,0.0,25.307275122406836,25.307275122406836,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 10:55:00,0.0,0.0024511776243795746,25.0,25.347676620942412,25.34708869081048,1,0,0.0,0.0,25.307275122406836,25.307275122406836,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 11:00:00,0.0,0.00200081317939399,25.0,25.33724632231414,25.336676030086167,1,0,0.0,0.0,25.307275122406836,25.307275122406836,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 11:05:00,0.0,0.00200081317939399,25.0,25.327128932644715,25.326575749183583,1,0,0.0,0.0,25.307275122406836,25.307275122406836,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 11:10:00,0.0,0.00200081317939399,25.0,25.317315064665372,25.316778476708077,1,0,0.0,0.0,25.307275122406836,25.307275122406836,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 11:15:00,0.0,0.00200081317939399,25.0,25.30779561272541,25.307275122406836,1,0,0.0,0.0,25.255951574776027,25.255951574776027,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,,
2024-10-09 11:20:00,1.0,0.00200081317939399,25.0,25.298561744343647,25.29805686873463,1,0,0.0,0.0,25.255951574776027,25.255951574776027,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 11:25:00,1.0,0.339501891575451,25.0,25.312104892013338,25.31161516267259,1,0,0.0,0.0,25.255951574776027,25.255951574776027,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 11:30:00,1.0,0.6730900625056664,25.0,25.32524174525294,25.324766707792413,1,0,0.0,0.0,25.255951574776027,25.255951574776027,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 11:35:00,1.0,1.002765325962897,25.0,25.33798449289535,25.337523706558642,1,0,0.0,0.0,25.255951574776027,25.255951574776027,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 11:40:00,1.0,1.002765325962897,25.0,25.35034495810849,25.349897995361882,1,0,0.0,0.0,25.255951574776027,25.255951574776027,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 11:45:00,1.0,1.002765325962897,25.0,25.362334609365234,25.361901055501026,1,0,0.0,0.0,25.426724444089864,25.426724444089864,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 11:50:00,1.0,1.002765325962897,25.0,25.373964571084276,25.373544023835993,1,0,0.0,0.0,25.426724444089864,25.426724444089864,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 11:55:00,1.0,1.002765325962897,25.0,25.385245633951747,25.384837703120915,1,0,0.0,0.0,25.426724444089864,25.426724444089864,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 12:00:00,12.0,1.0028331510230284,25.0,25.396188264933194,25.39579257202729,1,0,0.0,0.0,25.426724444089864,25.426724444089864,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 12:05:00,13.0,4.373400670978212,25.0,25.6543026169852,25.65391879486647,1,0,0.0,0.0,25.426724444089864,25.426724444089864,0.0,0.0,0.0,2.888215994184302,2.1925190091133135,True,True
2024-10-09 12:10:00,15.0,7.510402189328738,25.0,25.927173538475643,25.926801231020477,1,0,1.0847823589837613,0.0,25.426724444089864,25.426724444089864,0.0,0.09039852991531343,0.0,2.9786145240996156,2.1925190091133135,False,False
2024-10-09 12:15:00,15.0,10.458088134834338,25.0,25.260554209235988,26.236497194089864,1,1,0.6403694728239913,0.5952450633049011,27.282677509882625,24.299999824890776,1.7857351899147034,0.0533641227353326,0.049603755275408425,3.0319786468349483,2.242122764388722,True,False
2024-10-09 12:20:00,3.0,10.989955982626617,25.0,25.013905057417315,26.001181721292756,1,1,0.47593670494487605,0.5952450633049011,27.282677509882625,24.299999824890776,1.7857351899147034,0.039661392078739664,0.049603755275408425,3.071640038913688,2.29172651966413,True,False
2024-10-09 12:25:00,1.0,9.08011139504403,25.0,24.65264487124441,25.502925712679563,1,1,0.23509658082960527,0.5952450633049011,27.282677509882625,24.299999824890776,1.7857351899147034,0.01959138173580044,0.049603755275408425,3.0912314206494886,2.3413302749395384,True,True
2024-10-09 12:30:00,2.0,5.748960517668,25.0,24.473978602360432,24.974617384324766,1,1,0.11598573490695448,0.5952450633049011,27.282677509882625,24.299999824890776,1.7857351899147034,0.009665477908912872,0.049603755275408425,3.1008968985584016,2.3909340302149467,True,True
2024-10-09 12:35:00,2.0,1.9690337279072898,25.0,24.43037208287336,24.484658305820613,1,1,0.08691472191557399,0.5952450633049011,27.282677509882625,24.299999824890776,1.7857351899147034,0.007242893492964499,0.049603755275408425,3.1081397920513663,2.440537785490355,True,True
2024-10-09 12:40:00,1.0,1.650879776423664,25.0,24.414237670663145,24.009397999671585,1,1,0.07615844710876256,0.5952450633049011,27.282677509882625,24.299999824890776,1.7857351899147034,0.006346537259063546,0.049603755275408425,3.11448632931043,2.490141540765763,True,True
2024-10-09 12:45:00,1.0,1.650879776423664,25.0,24.385767938145364,23.525895502707026,1,0,0.057178625430241915,0.0,24.022654214021514,24.022654214021514,0.0,0.004764885452520159,0.0,3.11925121476295,2.490141540765763,True,True
2024-10-09 12:50:00,2.0,1.3288129174606558,25.0,24.375234137113786,23.592618637625815,1,0,0.05015609140919016,0.0,24.022654214021514,24.022654214021514,0.0,0.00417967428409918,0.0,3.1234308890470492,2.490141540765763,True,True
2024-10-09 12:55:00,2.0,1.3288129174606558,25.0,24.3938366307321,23.67984007849704,1,0,0.06255775382139936,0.0,24.022654214021514,24.022654214021514,0.0,0.00521314615178328,0.0,3.1286440351988327,2.490141540765763,True,True
2024-10-09 13:00:00,2.0,1.6514229132543032,25.0,24.400719553370877,23.76444487614213,1,0,0.06714636891391734,0.0,24.022654214021514,24.022654214021514,0.0,0.005595530742826445,0.0,3.1342395659416593,2.490141540765763,True,True
2024-10-09 13:05:00,3.0,1.9698247766967902,25.0,24.403266234747225,23.846511529857864,1,0,0.0688441564981493,0.0,24.022654214021514,24.022654214021514,0.0,0.005737013041512442,0.0,3.139976578983172,2.490141540765763,True,True
2024-10-09 13:10:00,1.0,2.284313732677725,25.0,24.426708506856475,23.948616183962127,1,0,0.08447233790431596,0.0,24.022654214021514,24.022654214021514,0.0,0.00703936149202633,0.0,3.1470159404751983,2.490141540765763,True,True
2024-10-09 13:15:00,2.0,1.9698247766967902,25.0,24.390382147536897,24.00265769844326,1,0,0.060254765024597624,0.0,24.419783776078283,24.419783776078283,0.0,0.005021230418716468,0.0,3.1520371708939146,2.490141540765763,True,True
